agent,regime_at_entry,total_trades,min_trades_required,meets_min_trade_threshold,average_return,median_return,win_rate,std_return,trade_level_return_ratio,plot_trade_level_return_ratio
trend,calm,103,20,True,-0.011403938213092811,-0.0389928393402658,0.20388349514563106,0.1040380554693608,-0.10961314262982616,-0.10961314262982616
trend,neutral,63,20,True,0.060881571498263835,-0.0356787807280197,0.2857142857142857,0.3491061189450062,0.17439273674791805,0.17439273674791805
trend,stressed,38,20,True,0.09371465153306414,-0.022145106911948702,0.3684210526315789,0.36023338848736614,0.2601498209995902,0.2601498209995902
mean_reversion,calm,57,20,True,-0.015018349552271276,0.0085832356361702,0.543859649122807,0.09709881239169586,-0.15467078517590277,-0.15467078517590277
mean_reversion,neutral,28,20,True,0.01587892318264466,0.0614601672233095,0.8214285714285714,0.1548102225169027,0.10257024971920665,0.10257024971920665
mean_reversion,stressed,15,20,False,0.014141039332239409,0.0805545822964416,0.6666666666666666,0.12369553238676627,0.1143213425689763,
random,calm,78,20,True,0.010471587566565228,-0.022153474641009398,0.3974358974358974,0.209236162016745,0.0500467388888886,0.0500467388888886
random,neutral,43,20,True,0.03302071141582911,0.0273234154353041,0.6976744186046512,0.1183182932268998,0.279083736886781,0.279083736886781
random,stressed,26,20,True,-0.022100420293893173,0.01772884258407885,0.5769230769230769,0.21487117632288902,-0.10285428074672359,-0.10285428074672359
momentum,calm,42,20,True,-0.007640374997110714,-0.0309976426242977,0.23809523809523808,0.10055981656354501,-0.0759784102458328,-0.0759784102458328
momentum,neutral,29,20,True,0.40759787643656886,-0.0140477211932612,0.3793103448275862,1.8055210460958604,0.22575083094042667,0.22575083094042667
momentum,stressed,17,20,False,0.24191037312708583,-0.0190173189620207,0.29411764705882354,1.1688439451727441,0.2069655013624028,
breakout,calm,32,20,True,0.0757252650338727,-0.02997467231026595,0.4375,0.3017813673060172,0.2509275695509874,0.2509275695509874
breakout,neutral,28,20,True,0.048894757796909924,-0.0297512856779939,0.4642857142857143,0.249043610206721,0.19633010361648856,0.19633010361648856
breakout,stressed,12,20,False,0.34213894455168026,0.3122094077741112,0.8333333333333334,0.43333881233423505,0.7895414276618912,
