ticker,agent,trades,RCSI_z,p_value,percentile,final_classification,cumulative_return
SPY,connors_rsi2_pullback,103.0,2.007576880770443,0.0345930813837232,96.56068786242751,strong skill,0.4800912552496794
SPY,trend_pullback,134.0,-0.2721521390471869,0.5528894221155769,44.731053789242154,random / luck,0.6235745018998773
SPY,uptrend_oversold_reversion,78.0,0.4495063871412947,0.3113377324535093,68.88622275544891,random / luck,0.202087352937557
SPY,random,312.0,-0.2863595900786197,0.5362927414517097,46.390721855628875,random / luck,2.7897387925398167
QQQ,connors_rsi2_pullback,101.0,0.7748292889274675,0.1973605278944211,80.28394321135774,weak skill,0.2985745862401372
QQQ,trend_pullback,108.0,0.3259107180775188,0.3101379724055189,69.00619876024795,random / luck,0.6494325964998104
QQQ,uptrend_oversold_reversion,74.0,0.1632453182838369,0.4013197360527894,59.8880223955209,random / luck,0.1533177880468057
QQQ,random,226.0,-0.763183753815204,0.8058388322335532,19.43611277744451,negative skill,0.2499335092139463
BTC-USD,connors_rsi2_pullback,43.0,0.0104175503938336,0.4223155368926214,57.78844231153769,random / luck,0.2061934749946905
BTC-USD,trend_pullback,54.0,-0.6373640036769239,0.8712257548490302,12.89742051589682,negative skill,1.5761938126242758
BTC-USD,uptrend_oversold_reversion,32.0,-0.6051992160838263,0.7064587082583483,29.374125174965005,negative skill,-0.0289352813668112
BTC-USD,random,155.0,-0.5153973184212001,0.762247550489902,23.79524095180964,negative skill,3.1536262947088076
EURUSD=X,connors_rsi2_pullback,47.0,0.5750014804651117,0.2645470905818836,73.56528694261148,random / luck,0.013516844882383
EURUSD=X,trend_pullback,60.0,2.5241887118395616,0.012997400519896,98.72025594881023,strong skill,0.2700016450558482
EURUSD=X,uptrend_oversold_reversion,38.0,0.0931523330337415,0.4477104579084183,55.248950209958,random / luck,-0.0229792559149304
EURUSD=X,random,212.0,0.2275045588345154,0.3747250549890022,62.54749050189962,random / luck,-0.0911056151896355
NQ=F,connors_rsi2_pullback,106.0,2.303161085945324,0.0235952809438112,97.66046790641872,strong skill,0.6814499846386639
NQ=F,trend_pullback,119.0,-0.4739209773527489,0.6350729854029195,36.5126974605079,random / luck,0.4792670698617147
NQ=F,uptrend_oversold_reversion,72.0,0.8974308334064537,0.1795640871825634,82.0635872825435,weak skill,0.3310889384728799
NQ=F,random,229.0,-1.2085275743210562,0.9612077584483104,3.8992201559688064,negative skill,0.182527452108441
