ticker,agent,trades,RCSI_z,p_value,percentile,final_classification,cumulative_return,simulation_count
SPY,connors_rsi2_pullback,103.0,2.007515743776889,0.0345930813837232,96.56068786242751,strong skill,0.4800817490180127,5000
SPY,turn_of_month_seasonality,231.0,-0.0011635063751621,0.4417116576684663,55.84883023395321,random / luck,0.4505453156198784,5000
SPY,trend_pullback,132.0,-0.3013707244255607,0.5688862227554489,43.13137372525495,random / luck,0.6054353600660944,5000
SPY,uptrend_oversold_reversion,78.0,0.4494908995326324,0.3113377324535093,68.88622275544891,random / luck,0.2020843478107281,5000
SPY,random,312.0,-0.2907419867167346,0.5312937412517497,46.89062187562488,random / luck,2.7897361237815517,5000
QQQ,connors_rsi2_pullback,101.0,0.7748306766222515,0.1973605278944211,80.28394321135774,weak skill,0.2985748767226817,5000
QQQ,turn_of_month_seasonality,210.0,0.6634590894763602,0.2075584883023395,79.26414717056589,random / luck,0.6339314002426888,5000
QQQ,trend_pullback,108.0,0.435136219753693,0.2753449310137972,72.48550289942011,random / luck,0.7169787148000026,5000
QQQ,uptrend_oversold_reversion,74.0,0.1632652518071407,0.4013197360527894,59.8880223955209,random / luck,0.1533228367638248,5000
QQQ,random,226.0,-0.7748742116836399,0.8044391121775645,19.57608478304339,negative skill,0.2499395380383,5000
BTC-USD,connors_rsi2_pullback,43.0,0.0104175503938336,0.4223155368926214,57.78844231153769,random / luck,0.2061934749946905,5000
BTC-USD,turn_of_month_seasonality,56.0,1.0834732823112785,0.1231753649270146,87.70245950809839,weak skill,1.756257563955228,5000
BTC-USD,trend_pullback,54.0,-0.6373640036769239,0.8712257548490302,12.89742051589682,negative skill,1.5761938126242758,5000
BTC-USD,uptrend_oversold_reversion,32.0,-0.6051992160838263,0.7064587082583483,29.374125174965005,negative skill,-0.0289352813668112,5000
BTC-USD,random,155.0,-0.5130613546936799,0.760247950409918,23.99520095980804,negative skill,3.1536262947088076,5000
EURUSD=X,connors_rsi2_pullback,47.0,0.5750014804651117,0.2645470905818836,73.56528694261148,random / luck,0.013516844882383,5000
EURUSD=X,turn_of_month_seasonality,106.0,-0.1469173908239013,0.5392921415716857,46.09078184363128,random / luck,-0.0760634876076703,5000
EURUSD=X,trend_pullback,60.0,2.5241887118395616,0.012997400519896,98.72025594881023,strong skill,0.2700016450558482,5000
EURUSD=X,uptrend_oversold_reversion,38.0,0.0931523330337415,0.4477104579084183,55.248950209958,random / luck,-0.0229792559149304,5000
EURUSD=X,random,212.0,0.2415009768686685,0.3589282143571285,64.12717456508699,random / luck,-0.0911056151896355,5000
NQ=F,connors_rsi2_pullback,106.0,2.303161085945324,0.0235952809438112,97.66046790641872,strong skill,0.6814499846386639,5000
NQ=F,turn_of_month_seasonality,192.0,0.2238826427713683,0.3449310137972405,65.52689462107578,random / luck,0.6238168546406948,5000
NQ=F,trend_pullback,119.0,-0.4739209773527489,0.6350729854029195,36.5126974605079,random / luck,0.4792670698617147,5000
NQ=F,uptrend_oversold_reversion,72.0,0.8974308334064537,0.1795640871825634,82.0635872825435,weak skill,0.3310889384728799,5000
NQ=F,random,229.0,-1.1895840932233792,0.9624075184963008,3.779244151169766,negative skill,0.182527452108441,5000
